Texto,Lema,POS,Tag,Dep,Shape,Alfabético,Stopword
monte,monte,NOUN,NOUN,obl,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
terra,terra,NOUN,NOUN,nmod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
3.28,3.28,NUM,NUM,conj,d.dd,False,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
i.,i.,NOUN,NOUN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Reencontrar,Reencontrar,PROPN,PROPN,flat:name,Xxxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
sobre,sobre,ADP,ADP,case,xxxx,True,True
a,o,DET,DET,det,x,True,True
areia,areia,NOUN,NOUN,conj,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
um,um,DET,DET,det,xx,True,True
imenso,imenso,ADJ,ADJ,amod,xxxx,True,False
litoral,litoral,NOUN,NOUN,nmod,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
uma,um,DET,DET,det,xxx,True,True
jóia,jóia,NOUN,NOUN,conj,xxxx,True,False
perdida,perder,VERB,VERB,acl,xxxx,True,False
em,em,ADP,ADP,case,xx,True,True
alto,alto,ADJ,ADJ,amod,xxxx,True,False
mar,mar,NOUN,NOUN,obl,xxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
ii,ii,ADV,ADV,conj,xx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
A,o,DET,DET,det,X,True,True
explosão,explosão,NOUN,NOUN,ROOT,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
dá,dar,VERB,VERB,acl:relcl,xx,True,True
origem,origem,NOUN,NOUN,obj,xxxx,True,False
a,a,ADP,ADP,case,x,True,True
um,um,DET,DET,det,xx,True,True
novo,novo,ADJ,ADJ,amod,xxxx,True,True
universo,universo,NOUN,NOUN,iobj,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
e,e,CCONJ,CCONJ,cc,x,True,True
a,a,ADP,ADP,case,x,True,True
milhões,milhão,NUM,NUM,dep,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
novas,novo,ADJ,ADJ,amod,xxxx,True,True
vidas,vida,NOUN,NOUN,conj,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
 
","
 
",SPACE,SPACE,dep,"
 
",False,False
4,4,NUM,NUM,appos,d,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Despertar,Despertar,VERB,VERB,csubj,Xxxxx,True,False
a,o,DET,DET,det,x,True,True
bodicita,bodicita,NOUN,NOUN,obj,xxxx,True,False
com,com,ADP,ADP,case,xxx,True,True
a,o,DET,DET,det,x,True,True
coragem,coragem,NOUN,NOUN,obl,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
um,um,DET,DET,det,xx,True,True
rei,rei,NOUN,NOUN,nmod,xxx,True,False
é,ser,AUX,AUX,cop,x,True,True
como,como,ADP,ADP,case,xxxx,True,True
o,o,DET,DET,det,x,True,True
desejo,desejo,NOUN,NOUN,ROOT,xxxx,True,False
de,de,SCONJ,SCONJ,mark,xx,True,True
atingir,atingir,VERB,VERB,acl,xxxx,True,False
primeiro,primeiro,ADV,ADV,advmod,xxxx,True,True
o,o,DET,DET,det,x,True,True
estado,estado,NOUN,NOUN,obj,xxxx,True,True
búdico,búdico,ADJ,ADJ,amod,xxxx,True,False
para,para,SCONJ,SCONJ,mark,xxxx,True,True
depois,depois,ADV,ADV,advmod,xxxx,True,True
levar,levar,VERB,VERB,advcl,xxxx,True,False
os,o,DET,DET,det,xx,True,True
outros,outro,PRON,PRON,obj,xxxx,True,True
ao,a o,ADP,ADP,case,xx,True,True
mesmo,mesmo,ADJ,ADJ,amod,xxxx,True,True
estado,estado,NOUN,NOUN,obl,xxxx,True,True
[,[,PUNCT,PUNCT,punct,[,False,False
PATRUL,PATRUL,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
p.332,p.332,PROPN,PROPN,parataxis,x.ddd,False,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
i.,i.,NOUN,NOUN,appos,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Como,como,ADP,ADP,case,Xxxx,True,True
o,o,DET,DET,det,x,True,True
alpinista,alpinista,NOUN,NOUN,amod,xxxx,True,False
experiente,experiente,ADJ,ADJ,amod,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
",",",",PUNCT,PUNCT,punct,",",False,False
atingindo,atingir,VERB,VERB,advcl,xxxx,True,False
a,o,DET,DET,det,x,True,True
meta,meta,NOUN,NOUN,obj,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
busca,busca,NOUN,NOUN,acl:relcl,xxxx,True,False
resgatar,resgatar,VERB,VERB,xcomp,xxxx,True,False
aqueles,aquele,PRON,PRON,obj,xxxx,True,True
que,que,PRON,PRON,nsubj,xxx,True,True
necessitam,necessitar,VERB,VERB,acl:relcl,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
ajuda,ajuda,NOUN,NOUN,obj,xxxx,True,False
para,para,SCONJ,SCONJ,mark,xxxx,True,True
atingir,atingir,VERB,VERB,advcl,xxxx,True,False
o,o,DET,DET,det,x,True,True
cume,cume,NOUN,NOUN,obj,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
5,5,NUM,NUM,nummod,d,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Despertar,Despertar,VERB,VERB,ROOT,Xxxxx,True,False
a,o,DET,DET,det,x,True,True
bodicita,bodicita,NOUN,NOUN,obj,xxxx,True,False
com,com,ADP,ADP,case,xxx,True,True
a,o,DET,DET,det,x,True,True
coragem,coragem,NOUN,NOUN,obl,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
um,um,DET,DET,det,xx,True,True
barqueiro,barqueiro,NOUN,NOUN,nmod,xxxx,True,False
é,ser,VERB,VERB,conj,x,True,True
como,como,ADV,ADV,mark,xxxx,True,True
atingir,atingir,VERB,VERB,xcomp,xxxx,True,False
o,o,DET,DET,det,x,True,True
estado,estado,NOUN,NOUN,obj,xxxx,True,True
búdico,búdico,ADJ,ADJ,amod,xxxx,True,False
para,para,ADP,ADP,case,xxxx,True,True
si,se,PRON,PRON,obl,xx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
todos,todo,DET,DET,det,xxxx,True,True
os,o,DET,DET,fixed,xx,True,True
seres,ser,NOUN,NOUN,conj,xxxx,True,False
ao,a o,ADP,ADP,case,xx,True,True
mesmo,mesmo,ADJ,ADJ,amod,xxxx,True,True
tempo,tempo,NOUN,NOUN,nmod,xxxx,True,True
[,[,PUNCT,PUNCT,punct,[,False,False
PATRUL,PATRUL,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
p.332,p.332,PROPN,PROPN,appos,x.ddd,False,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
i.,i.,NOUN,NOUN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
O,o,DET,DET,det,X,True,True
piloto,piloto,NOUN,NOUN,ROOT,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
aterriza,aterrizar,VERB,VERB,acl:relcl,xxxx,True,False
a,a,ADP,ADP,case,x,True,True
todos,todo,PRON,PRON,obl,xxxx,True,True
com,com,ADP,ADP,case,xxx,True,True
segurança,segurança,NOUN,NOUN,nmod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
6,6,NUM,NUM,nummod,d,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Despertar,Despertar,VERB,VERB,csubj,Xxxxx,True,False
a,o,DET,DET,det,x,True,True
bodicita,bodicita,NOUN,NOUN,obj,xxxx,True,False
com,com,ADP,ADP,case,xxx,True,True
a,o,DET,DET,det,x,True,True
coragem,coragem,NOUN,NOUN,obl,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
um,um,DET,DET,det,xx,True,True
pastor,pastor,NOUN,NOUN,nmod,xxxx,True,False
é,ser,VERB,VERB,cop,x,True,True
como,como,ADP,ADP,case,xxxx,True,True
o,o,DET,DET,det,x,True,True
desejo,desejo,NOUN,NOUN,ROOT,xxxx,True,False
de,de,SCONJ,SCONJ,mark,xx,True,True
que,que,SCONJ,SCONJ,mark,xxx,True,True
todos,todo,PRON,PRON,nsubj,xxxx,True,True
estabeleçam,estabeleçam,VERB,VERB,acl,xxxx,True,False
o,o,DET,DET,det,x,True,True
estado,estado,NOUN,NOUN,obj,xxxx,True,True
búdico,búdico,ADJ,ADJ,amod,xxxx,True,False
antes,antes,ADV,ADV,mark,xxxx,True,True
mesmo,mesmo,ADV,ADV,fixed,xxxx,True,True
de,de,SCONJ,SCONJ,mark,xx,True,True
atingí-lo,atingí-lo,VERB,VERB,advcl,xxxx-xx,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
Esse,esse,PRON,PRON,nsubj:pass,Xxxx,True,True
é,ser,AUX,AUX,aux:pass,x,True,True
considerado,considerar,VERB,VERB,ROOT,xxxx,True,False
o,o,DET,DET,det,x,True,True
meio,meio,NOUN,NOUN,xcomp,xxxx,True,True
mais,mais,ADV,ADV,advmod,xxxx,True,True
corajoso,corajoso,ADJ,ADJ,amod,xxxx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
i.,i.,NOUN,NOUN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Um,um,NUM,NUM,det,Xx,True,True
guia,guia,NOUN,NOUN,ROOT,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
faz,fazer,VERB,VERB,acl:relcl,xxx,True,True
guarda,guarda,NOUN,NOUN,obj,xxxx,True,False
sobre,sobre,ADP,ADP,case,xxxx,True,True
o,o,DET,DET,det,x,True,True
caminho,caminho,NOUN,NOUN,nmod,xxxx,True,True
já,já,ADV,ADV,advmod,xx,True,True
conquistado,conquistar,VERB,VERB,acl,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
afastando,afastar,VERB,VERB,advcl,xxxx,True,False
os,o,DET,DET,det,xx,True,True
perigos,perigo,NOUN,NOUN,obj,xxxx,True,False
do,de o,SCONJ,SCONJ,mark,xx,True,True
porvir,porvir,VERB,VERB,nmod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
 
","
 
",SPACE,SPACE,dep,"
 
",False,False
7,7,NUM,NUM,parataxis,d,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Sem,sem,ADP,ADP,case,Xxx,True,True
refúgio,refúgio,NOUN,NOUN,nsubj,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
bodicita,bodicitar,NOUN,NOUN,conj,xxxx,True,False
seus,seu,DET,DET,det,xxxx,True,True
esforços,esforço,NOUN,NOUN,obj,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
práticas,prática,NOUN,NOUN,conj,xxxx,True,False
serão,ser,AUX,AUX,cop,xxxx,True,False
tão,tão,ADV,ADV,advmod,xxx,True,True
inúteis,inútel,ADJ,ADJ,ROOT,xxxx,True,False
como,como,SCONJ,SCONJ,mark,xxxx,True,True
construir,construir,VERB,VERB,xcomp,xxxx,True,False
uma,um,DET,DET,det,xxx,True,True
mansão,mansão,NOUN,NOUN,obj,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
nove,nove,NUM,NUM,nummod,xxxx,True,True
andares,andar,NOUN,NOUN,nmod,xxxx,True,False
sobre,sobre,ADP,ADP,case,xxxx,True,True
um,um,DET,DET,det,xx,True,True
lago,lago,NOUN,NOUN,nmod,xxxx,True,False
congelado,congelar,VERB,VERB,acl,xxxx,True,False
no,em o,ADP,ADP,case,xx,True,True
inverno,inverno,NOUN,NOUN,obl,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
pintar,pintar,VERB,VERB,conj,xxxx,True,False
afrescos,afresco,NOUN,NOUN,obj,xxxx,True,False
nas,em o,ADP,ADP,case,xxx,True,True
paredes,parede,NOUN,NOUN,obl,xxxx,True,False
rebocadas,rebocar,VERB,VERB,acl,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
PATRUL,PATRUL,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
p.382,p.382,NOUN,NOUN,conj,x.ddd,False,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
i.,i.,NOUN,NOUN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Um,um,DET,DET,det,Xx,True,True
alfaiate,alfaiate,NOUN,NOUN,ROOT,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
sobrepõe,sobrepor,VERB,VERB,acl:relcl,xxxx,True,False
cem,cem,NUM,NUM,nummod,xxx,True,False
camadas,camada,NOUN,NOUN,obj,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
tecido,tecido,NOUN,NOUN,nmod,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
bordados,bordar,VERB,VERB,conj,xxxx,True,False
em,em,ADP,ADP,case,xx,True,True
um,um,DET,DET,det,xx,True,True
vestido,vestido,NOUN,NOUN,obj,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
noiva,noiva,NOUN,NOUN,nmod,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
mas,mas,CCONJ,CCONJ,cc,xxx,True,True
sem,sem,SCONJ,SCONJ,mark,xxx,True,True
costurá-los,costurá-los,VERB,VERB,conj,xxxx-xxx,False,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,parataxis,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
 
","
 
",SPACE,SPACE,dep,"
 
",False,False
Bodisatva,Bodisatva,PROPN,PROPN,appos,Xxxxx,True,False
"

","

",SPACE,SPACE,dep,"

",False,False
8,8,NUM,NUM,nummod,d,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Para,para,ADP,ADP,case,Xxxx,True,True
todos,todo,DET,DET,det,xxxx,True,True
aqueles,aquele,PRON,PRON,obl,xxxx,True,True
que,que,PRON,PRON,nsubj,xxx,True,True
padecem,padecer,VERB,VERB,acl:relcl,xxxx,True,False
no,em o,ADP,ADP,case,xx,True,True
mundo,mundo,NOUN,NOUN,obl,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
o,o,DET,DET,det,x,True,True
bodisatva,bodisatva,NOUN,NOUN,nsubj,xxxx,True,False
é,ser,VERB,VERB,cop,x,True,True
como,como,ADP,ADP,case,xxxx,True,True
:,:,PUNCT,PUNCT,punct,:,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
a.,A.,NOUN,NOUN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
o,o,DET,DET,det,x,True,True
médico,médico,NOUN,NOUN,nsubj,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
enfermeiro,enfermeiro,NOUN,NOUN,conj,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
o,o,DET,DET,det,x,True,True
próprio,próprio,DET,DET,det,xxxx,True,True
remédio,remédio,NOUN,NOUN,conj,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
3.8,3.8,NUM,NUM,appos,d.d,False,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
b.,b.,NOUN,NOUN,det,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
uma,um,DET,DET,det,xxx,True,True
balsa,balsa,NOUN,NOUN,appos,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
um,um,DET,DET,det,xx,True,True
barco,barco,NOUN,NOUN,appos,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
uma,um,DET,DET,det,xxx,True,True
ponte,ponte,NOUN,NOUN,conj,xxxx,True,False
para,para,ADP,ADP,case,xxxx,True,True
os,o,PRON,PRON,nmod,xx,True,True
que,que,PRON,PRON,nsubj,xxx,True,True
desejam,desejar,VERB,VERB,acl:relcl,xxxx,True,False
cruzar,cruzar,VERB,VERB,xcomp,xxxx,True,False
para,para,ADP,ADP,case,xxxx,True,True
a,o,DET,DET,det,x,True,True
outra,outro,DET,DET,det,xxxx,True,True
margem,margem,NOUN,NOUN,obl,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
3.18,3.18,NUM,NUM,conj,d.dd,False,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
c.,c.,NOUN,NOUN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
uma,um,DET,DET,det,xxx,True,True
ilha,ilha,NOUN,NOUN,obj,xxxx,True,False
para,para,ADP,ADP,case,xxxx,True,True
aqueles,aquele,PRON,PRON,nmod,xxxx,True,True
que,que,PRON,PRON,nsubj,xxx,True,True
anseiam,ansear,VERB,VERB,acl:relcl,xxxx,True,False
por,por,ADP,ADP,case,xxx,True,True
terra,terra,NOUN,NOUN,obl,xxxx,True,False
firme,firme,ADJ,ADJ,amod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
3.19,3.19,NUM,NUM,conj,d.dd,False,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
d.,d.,PROPN,PROPN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
uma,um,DET,DET,det,xxx,True,True
lamparina,lamparina,NOUN,NOUN,appos,xxxx,True,False
para,para,ADP,ADP,case,xxxx,True,True
aqueles,aquele,PRON,PRON,nmod,xxxx,True,True
que,que,PRON,PRON,nsubj,xxx,True,True
desejam,desejar,VERB,VERB,acl:relcl,xxxx,True,False
luz,luz,NOUN,NOUN,obj,xxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,parataxis,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
3.19,3.19,NUM,NUM,conj,d.dd,False,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
e.,e.,PROPN,PROPN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
um,um,DET,DET,det,xx,True,True
leito,leito,NOUN,NOUN,appos,xxxx,True,False
para,para,ADP,ADP,case,xxxx,True,True
os,o,PRON,PRON,nmod,xx,True,True
que,que,PRON,PRON,nsubj,xxx,True,True
precisam,precisar,VERB,VERB,acl:relcl,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
descanso,descanso,ADJ,ADJ,obl,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
3.19,3.19,NUM,NUM,conj,d.dd,False,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
i.,i.,NOUN,NOUN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
O,o,DET,DET,det,X,True,True
suor,suor,NOUN,NOUN,ROOT,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
anuncia,anunciar,VERB,VERB,acl:relcl,xxxx,True,False
a,o,DET,DET,det,x,True,True
cura,cura,NOUN,NOUN,obj,xxxx,True,False
definitiva,definitivo,ADJ,ADJ,amod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
ii,ii,ADV,ADV,parataxis,xx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Uma,um,DET,DET,det,Xxx,True,True
trilha,trilha,NOUN,NOUN,ROOT,xxxx,True,False
segura,seguro,ADJ,ADJ,amod,xxxx,True,False
numa,em um,ADP,ADP,case,xxxx,True,True
longa,longo,ADJ,ADJ,amod,xxxx,True,False
jornada,jornada,NOUN,NOUN,nmod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
iii,iii,NOUN,NOUN,conj,xxx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
O,o,DET,DET,det,X,True,True
alimento,alimento,NOUN,NOUN,ROOT,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
sacia,saciar,VERB,VERB,acl:relcl,xxxx,True,False
toda,todo,DET,DET,det,xxxx,True,True
fome,fome,NOUN,NOUN,obj,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
sede,sede,NOUN,NOUN,conj,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
9,9,NUM,NUM,nummod,d,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
O,o,DET,DET,det,X,True,True
caminho,caminho,NOUN,NOUN,nsubj,xxxx,True,True
do,de o,ADP,ADP,case,xx,True,True
bodisatva,bodisatva,PROPN,PROPN,nmod,xxxx,True,False
é,ser,AUX,AUX,ROOT,x,True,True
como,como,SCONJ,SCONJ,advmod,xxxx,True,True
estar,estar,AUX,AUX,cop,xxxx,True,True
montado,montado,ADJ,ADJ,xcomp,xxxx,True,False
no,em o,ADP,ADP,case,xx,True,True
corcel,corcel,NOUN,NOUN,obl,xxxx,True,False
da,de o,ADP,ADP,case,xx,True,True
bodicita,bodicita,NOUN,NOUN,nmod,xxxx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
Quem,quem,PRON,PRON,nsubj,Xxxx,True,True
",",",",PUNCT,PUNCT,punct,",",False,False
lucidamente,lucidamente,ADV,ADV,advmod,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
poderia,poder,VERB,VERB,ROOT,xxxx,True,False
jamais,jamais,ADV,ADV,advmod,xxxx,True,False
se,se,PRON,PRON,expl,xx,True,True
desacorçoar,desacorçoar,VERB,VERB,xcomp,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
levado,levar,VERB,VERB,advcl,xxxx,True,False
por,por,ADP,ADP,case,xxx,True,True
tal,tal,PRON,PRON,obl,xxx,True,True
montaria,montario,ADJ,ADJ,obj,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
de,de,ADP,ADP,case,xx,True,True
alegria,alegria,NOUN,NOUN,obl,xxxx,True,False
a,a,DET,DET,det,x,True,True
alegria,alegria,NOUN,NOUN,nmod,xxxx,True,False
?,?,PUNCT,PUNCT,punct,?,False,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,ROOT,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
7.30,7.30,NUM,NUM,parataxis,d.dd,False,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
i.,i.,NOUN,NOUN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Navegar,navegar,ADJ,ADJ,ROOT,Xxxxx,True,False
alegremente,alegremente,ADV,ADV,advmod,xxxx,True,False
na,em o,ADP,ADP,case,xx,True,True
embarcação,embarcação,NOUN,NOUN,nmod,xxxx,True,False
do,de o,ADP,ADP,case,xx,True,True
capitão,capitão,NOUN,NOUN,nmod,xxxx,True,False
chamado,chamar,VERB,VERB,acl,xxxx,True,False
“,“,PROPN,PROPN,appos,“,False,False
Coração,Coração,PROPN,PROPN,flat:name,Xxxxx,True,False
Destemido,Destemido,VERB,VERB,acl,Xxxxx,True,False
”,”,NOUN,NOUN,obj,”,False,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,ROOT,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
 
","
 
",SPACE,SPACE,dep,"
 
",False,False
Dedicação,dedicação,NOUN,NOUN,ROOT,Xxxxx,True,False
de,de,ADP,ADP,case,xx,True,True
méritos,mérito,NOUN,NOUN,nmod,xxxx,True,False
"

","

",SPACE,SPACE,dep,"

",False,False
10,10,NUM,NUM,nummod,dd,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Dedicar,dedicar,VERB,VERB,ROOT,Xxxxx,True,False
os,o,DET,DET,det,xx,True,True
méritos,mérito,NOUN,NOUN,obj,xxxx,True,False
é,ser,VERB,VERB,cop,x,True,True
como,como,SCONJ,SCONJ,advmod,xxxx,True,True
desejar,desejar,VERB,VERB,xcomp,xxxx,True,False
